date,food,outfit,dwelling,health,beauty,remote,money,travel,kids,nonfood,telecom,fun,charity,misc
2020-01-01,3288475.7600000054,280949.92999999993,195000.37999999995,213308.31000000006,95492.67,29134.929999999997,9293661.709999995,1583692.2799999984,55583.06000000001,243158.98999999996,244553.93000000002,1651429.6799999962,2381.83,422838.39
2020-01-02,5031752.650000055,1112803.9700000002,757054.42,422927.7799999998,342719.75,27258.559999999998,11579343.180000005,2063747.790000001,248564.63999999998,829713.6799999999,321304.56,2948714.949999998,3750.0,573121.5700000001
2020-01-03,5538428.970000084,976590.8799999999,1013332.6200000001,528758.6599999999,360071.9100000001,17861.869999999995,16652108.350000001,2124783.1999999997,230569.09999999995,605986.6500000003,349685.72000000003,2675455.2400000026,5945.38,945610.98
2020-01-04,5874405.230000089,1240004.03,1147903.1700000004,694733.1699999998,309057.9600000001,20464.01,12062500.13,2719636.989999999,231768.24999999994,852954.0099999997,466232.48,2208660.4399999958,3828.1800000000003,648329.1799999998
2020-01-05,5834887.8500000695,982240.0700000003,1382983.3499999999,566423.58,353671.18,63583.79999999999,13319404.77,2415909.539999997,240020.7599999999,927457.7000000004,390041.0399999999,2365675.2999999984,5355.02,363470.93999999994
2020-01-06,5997859.240000083,1092204.6199999999,1098478.79,575837.0700000002,266136.89,38922.030000000006,12811331.739999998,2402301.9099999946,201037.25999999995,964173.5599999999,339312.58999999997,2492464.660000002,4353.57,582971.1399999999
2020-01-07,5574482.080000074,986218.9699999994,1046111.0,418280.50000000006,280736.4900000001,41481.509999999995,12330293.759999996,1747343.5399999975,173132.33999999997,693512.6399999999,349266.0499999999,2299283.8999999976,4568.77,739464.1000000002
2020-01-08,5192568.810000048,1172315.8699999996,998897.0999999999,612260.4599999997,374104.79,31031.10000000001,11745358.78,1731376.6799999983,201023.59999999998,694294.4500000003,364355.72,2150435.4899999974,3029.96,621109.9900000001
2020-01-09,4873635.580000042,731715.03,1357589.9400000004,784847.67,283266.75999999995,58055.80000000001,27885487.759999994,2977713.0999999978,128718.10999999999,1275723.76,436108.94999999995,2334763.979999998,2189.4,894736.4799999995
2020-01-10,6527819.550000084,878570.0299999999,1842415.429999999,791850.66,435976.2900000001,77402.47,42089393.40000002,2827992.389999992,345580.9999999998,977666.0399999997,379631.3499999999,2789089.0900000017,13759.83,724003.5899999997
2020-01-11,7276176.13000009,1610164.8,1337835.58,918858.3999999998,643468.7400000002,80080.19000000002,22072997.319999997,2481481.489999997,284948.81,1237604.2999999993,311528.08999999985,3193680.920000006,3986.77,546681.3200000003
2020-01-12,6348152.300000067,1361297.4399999995,1289793.2499999998,570817.6099999999,352808.81999999995,77355.32000000002,15460142.890000002,2181567.969999999,353694.25,1001685.6700000004,506178.52999999997,2402362.7499999995,6576.0,808078.78
2020-01-13,5666017.690000087,780834.2699999999,849914.7700000001,1050101.04,321580.51000000007,27811.48,33747351.03,2569883.119999995,227432.36999999997,899886.33,408041.55999999994,2368552.650000004,8581.0,1024231.7400000002
2020-01-14,5605053.3600000525,1120486.28,1288200.4500000004,1157237.960000001,431150.45000000007,58844.56999999998,34173441.219999984,3061078.7799999975,262346.31999999995,1083756.35,612141.27,2369391.9899999993,19538.3,904429.5300000001
2020-01-15,5675867.390000074,1268040.7000000002,1172557.5,922888.43,476760.8800000002,36952.090000000004,40575251.54999998,2995509.4899999946,273776.62000000005,1653227.6999999993,638605.6299999999,2363082.6300000027,47785.35,1276627.3900000001
2020-01-16,6019872.840000085,2378663.97,1146069.0900000003,1020346.43,375349.63,37816.80000000002,38408825.62999999,3550316.0199999907,469801.0300000001,982059.7399999996,541721.16,2167051.119999999,12847.3,1505356.2599999995
2020-01-17,7320434.780000092,981992.67,1378206.0400000005,1253679.3700000003,392881.89,26253.62,37274255.50999999,3057215.3099999917,225623.40000000002,1011756.8699999995,455386.2200000001,2672252.5900000036,7565.639999999999,717832.56
2020-01-18,8234459.350000139,1589952.39,1742751.08,728490.0399999998,535417.1500000001,71993.87000000001,22163597.19999999,2366084.469999997,312083.32999999984,1148776.3699999996,388703.28,2757750.8200000017,4191.650000000001,690054.6400000001
2020-01-19,6819625.680000092,1583682.4799999997,1025662.9900000002,634694.0299999994,460095.33999999997,36650.219999999994,19743495.899999995,2128048.349999999,285911.77,1533128.7499999984,525015.4400000001,2710490.4300000016,750.0,660552.3499999999
2020-01-20,5657510.8200000655,1262438.5,1506328.4000000001,1073712.6,496552.12999999995,44845.13000000001,36256418.92999999,3338590.219999997,203173.25999999998,816941.1200000003,269930.1,2553727.96,27820.0,806133.5099999995
2020-01-21,5578179.400000075,834161.15,1751283.2799999998,1299026.7199999997,332245.27,82735.2,33063383.5,3356773.529999995,285159.77999999997,1583813.7600000002,401273.53,2600330.6300000045,2417.4300000000003,775657.0299999999
2020-01-22,5648511.780000073,904124.1599999997,947370.2299999997,950788.7799999999,332758.05999999994,34674.7,29528153.49999998,3221806.189999999,463632.1700000002,1184033.8999999994,194170.78999999995,2804255.240000004,3275.27,655494.32
2020-01-23,6143637.900000094,1231386.07,1767055.5799999994,795108.4300000002,357700.9800000001,39036.62000000001,28628547.949999996,3130352.799999999,196742.41,1024408.55,340551.33999999997,1910397.589999993,22225.64,1004891.5399999997
2020-01-24,7626138.8200001,957667.7999999998,1319773.9300000002,1016338.11,404488.80999999994,47781.2,42188820.50000001,3153153.669999997,346637.5,1157089.4300000006,566017.76,2698185.769999998,27635.0,742379.5700000002
2020-01-25,8474475.650000118,1484579.0500000003,1857930.8599999999,774016.9299999995,499678.42,25862.090000000007,20447918.569999997,2480680.3799999994,453429.5000000001,1079677.2599999998,423228.54000000004,2997366.0200000056,1151.64,659764.7999999999
2020-01-26,7223411.270000098,1627780.62,2487640.6100000003,674286.9299999998,411203.4899999998,18760.050000000003,15839090.479999999,2136991.939999999,434915.06,1850835.629999999,385640.11999999994,2403011.970000002,18761.0,558891.9199999999
2020-01-27,5919118.690000089,989908.3599999999,2149800.749999999,922525.9500000001,380965.47999999986,21818.070000000007,33278298.680000007,3034226.06,363162.85,1465306.8899999992,389908.83999999997,1806163.2499999944,6950.0,668703.1399999999
2020-01-28,5638519.96000007,763337.8599999999,1407226.0399999998,992112.4000000003,369156.29,28923.830000000005,32860850.589999996,2929594.6299999994,225248.52000000002,1508212.0999999994,572605.1099999998,1992427.8399999952,16542.0,617475.3
2020-01-29,6168887.05000004,541201.41,2541447.81,1202434.5800000003,432975.14,12267.27,31810031.18,2854841.659999994,230793.41999999995,1125666.1899999997,563778.4100000001,1763625.4399999988,2037.53,409486.10000000015
2020-01-30,5909858.18000004,983655.09,1934717.2000000004,826588.4799999993,437253.96000000014,11608.080000000002,36660421.15999998,3218768.949999999,268123.74999999994,1375693.6099999996,572219.9700000001,2068877.6399999945,4833.0599999999995,679154.2299999997
2020-01-31,7236024.280000076,1150568.6499999997,2815862.7299999986,965937.0100000007,380231.36,11492.43,37193636.339999996,3250302.0599999977,278623.83999999985,1058934.6199999999,601301.0800000001,2315107.1099999906,2181.0,901290.2699999998
2020-02-01,8173818.7200000975,1597130.34,2222134.86,896502.8500000001,613031.3000000002,27360.210000000003,25959173.049999993,2803732.2499999986,597191.0300000003,1313474.7599999998,466749.28,2742697.910000002,5315.79,957305.9700000001
2020-02-02,6849636.520000098,1743352.7899999998,1838016.3899999992,831650.1799999997,550922.7400000003,29197.979999999992,16693380.270000003,2587949.7199999955,393295.02,833644.8200000002,497227.48,2225946.2999999975,2716.7,700536.0399999999
2020-02-03,5476606.240000071,658883.3899999999,1232462.07,952124.28,353639.56,35391.44,33540787.830000002,3544159.49999999,111218.42000000001,908548.7100000002,323411.13,1834654.3099999973,3246.2799999999997,867023.99
2020-02-04,5584713.890000067,1186395.0,1231968.3700000006,851556.6199999992,303764.92999999993,28846.339999999997,31703657.83,3368686.3100000005,254001.05,971947.8599999999,568662.46,1961635.1899999972,2503.0,932505.5700000001
2020-02-05,5687207.160000094,1189612.11,1267605.6399999997,1102496.9299999997,309995.76,44561.69000000001,37774312.680000015,3688339.449999995,277301.60000000003,887257.1200000003,360089.5999999999,2232617.6799999964,2877.0,1125965.2100000002
2020-02-06,6012267.7400000775,953016.9400000003,1134843.3,1054789.6799999995,413292.2700000001,30523.240000000005,33609012.3,3171347.6099999887,178372.03,1285961.0099999998,398309.9099999999,2410339.9999999995,2259.19,668330.2600000001
2020-02-07,7381077.840000107,1181687.8599999999,1291832.7300000004,1423998.5600000005,353872.82000000007,30970.47,39363015.57999999,3729648.7699999977,212610.6499999999,1467571.5099999995,358703.77,2821682.300000002,6486.3,679618.2500000005
2020-02-08,8032518.430000133,1055951.6500000001,1226038.5299999996,801565.0299999998,536211.8299999997,18448.000000000004,21415714.759999987,2596104.210000001,346371.72000000003,1318671.4099999997,260047.89999999997,3236494.920000009,6350.0,893912.2700000006
2020-02-09,6534879.1900000945,1507609.31,937197.5399999999,647763.2899999999,352580.00999999995,24665.16,16190458.530000001,2359593.839999997,312710.22000000003,1096413.0800000003,433010.2499999999,2084568.3999999948,1263.1599999999999,1141348.0499999998
2020-02-10,5813742.660000092,1085691.49,1048356.7300000002,915407.7500000005,317748.50000000006,60920.84000000001,47102986.74,3335325.599999997,288024.5,865094.1200000002,704867.3199999998,2326590.919999997,14992.59,793176.5700000001
2020-02-11,5633739.470000091,1200751.6600000001,1381599.2299999997,936857.2300000001,303905.56,31801.230000000007,35829437.66999999,3128391.7899999954,309780.1400000001,1101652.6,530613.1,1996221.779999994,2247.99,1595873.2299999995
2020-02-12,6202208.640000084,2008459.8099999998,1780176.9000000004,1012502.5299999992,450441.56,35576.20000000002,36727141.589999974,3523761.49,422785.22000000003,961256.33,429080.23,2041203.2399999949,4627.700000000001,772423.8599999989
2020-02-13,6456441.040000127,1615606.8,1695875.7000000002,955910.7399999986,449099.9,32805.68000000001,33549675.89999999,4624843.490000003,410671.50999999995,1504179.8799999994,358280.7599999999,3037528.080000005,4817.530000000001,1316201.219999999
2020-02-14,8676633.410000144,1281827.7899999996,1169204.7899999998,978905.6400000005,626020.75,28170.09,53410551.92999998,3865868.469999995,323039.73000000004,1179893.0699999998,557244.04,4825724.810000023,2836.67,1584539.0899999999
2020-02-15,8866789.840000136,1511046.94,2218846.5399999996,762519.9100000005,816197.1200000002,59460.69999999999,25899030.480000004,3189076.7999999993,384742.32,1655550.8499999999,618851.76,3501851.710000002,6090.14,1543403.7499999995
2020-02-16,7110132.450000098,1405549.5499999998,1812515.4399999997,790114.2199999996,504288.8300000001,34773.79,22851810.930000007,2271157.559999999,298913.38000000006,1307946.12,403461.22,2845629.580000001,4918.0599999999995,1330526.9000000004
2020-02-17,5930061.8500000825,1124083.13,1927750.4699999988,1320104.0700000008,263798.68999999994,47695.380000000005,36959649.84000001,3364081.569999991,233177.11999999997,974334.8799999995,287611.33999999997,2570282.1499999994,5050.0,836619.7800000001
2020-02-18,5964847.660000121,869672.6800000003,1153428.0799999998,984195.7100000004,434332.17000000004,41318.47999999999,35864766.07,3858789.4499999983,283598.6,855344.0800000003,360613.68000000005,2552172.95000001,28150.98,704888.9300000002
2020-02-19,5907623.010000076,771921.9800000001,993059.6699999999,954787.7800000003,369908.1600000001,39551.90999999999,31568629.92,3805607.4999999925,440596.8,859726.6299999997,450118.75,2811657.7499999995,33906.43,659193.1900000008
2020-02-20,6766476.360000115,950520.45,1318033.0099999993,1080091.7600000007,383918.5000000001,24901.960000000003,36064704.43000001,2929045.139999993,306702.3799999999,1346276.6600000006,320711.87999999995,3196689.5600000103,5170.0,1019009.98
2020-02-21,7556500.400000118,1132536.9099999997,1901321.36,1139378.01,664828.1900000003,20805.3,37032017.28999999,3846135.599999994,348263.04999999993,1027269.3699999993,558621.62,3027302.790000003,15566.06,983655.5000000001
2020-02-22,8550262.080000117,1710181.3199999996,1658314.5000000002,934086.2400000002,796914.1300000002,28880.289999999994,21464369.8,2787206.6099999994,446729.99000000017,1691713.13,543190.3899999999,3397415.8500000034,2749.6600000000003,1504265.8
2020-02-23,7718041.840000104,1309019.5199999998,1133831.4200000002,661421.5299999999,530951.5599999999,51500.64000000001,17101562.44999999,2215902.609999998,379295.2300000001,1070598.4500000004,203891.03999999998,3217474.230000006,5160.0,798699.7600000001
